date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:15:03	132179/132179	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2013:45:03%20GMT	https://appline-tailwind.preview.uideck.com/	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/index.html	(from )
19:15:04	6230/6230	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Apr%202023%2013:45:04%20GMT	https://appline-tailwind.preview.uideck.com/robots.txt		(from )
19:15:04	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22110e237ac457494ef763d48047ab1b1e%22	https://appline-tailwind.preview.uideck.com/favicon.ico	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/favicon.ico	(from https://appline-tailwind.preview.uideck.com/)
19:15:06	67565/67565	---MCZ	200	added ('OK')	text/css	etag:W/%226473c16d7924e312e801a713285a65ba%22	https://appline-tailwind.preview.uideck.com/style.css	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/style.css	(from https://appline-tailwind.preview.uideck.com/)
19:15:06	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2013%20Apr%202023%2013:45:06%20GMT	https://appline-tailwind.preview.uideck.com/index.html	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/index-2.html	(from https://appline-tailwind.preview.uideck.com/)
19:15:06	5954/5954	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224eb462636efc82fbf2f0179a11a09e5c%22	https://appline-tailwind.preview.uideck.com/images/logo.svg	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/images/logo.svg	(from https://appline-tailwind.preview.uideck.com/)
19:15:07	5936/5936	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f6e299aab7e18b43fc4ccf9f91b66586%22	https://appline-tailwind.preview.uideck.com/images/logo-white.svg	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/images/logo-white.svg	(from https://appline-tailwind.preview.uideck.com/)
19:15:07	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2013%20Apr%202023%2013:45:07%20GMT	https://appline-tailwind.preview.uideck.com/blog-grid.html	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/blog-grid.html	(from https://appline-tailwind.preview.uideck.com/)
19:15:08	42884/42884	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2013:45:08%20GMT	https://appline-tailwind.preview.uideck.com/blog-grid	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/blog-grid.html	(from https://appline-tailwind.preview.uideck.com/)
19:15:08	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2013%20Apr%202023%2013:45:08%20GMT	https://appline-tailwind.preview.uideck.com/blog-details.html	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/blog-details.html	(from https://appline-tailwind.preview.uideck.com/)
19:15:09	33771/33771	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2013:45:09%20GMT	https://appline-tailwind.preview.uideck.com/blog-details	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/blog-details.html	(from https://appline-tailwind.preview.uideck.com/)
19:15:09	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2013%20Apr%202023%2013:45:09%20GMT	https://appline-tailwind.preview.uideck.com/404.html	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/404.html	(from https://appline-tailwind.preview.uideck.com/)
19:15:10	21279/21279	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2013:45:10%20GMT	https://appline-tailwind.preview.uideck.com/404	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/404.html	(from https://appline-tailwind.preview.uideck.com/)
19:15:10	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2013%20Apr%202023%2013:45:10%20GMT	https://appline-tailwind.preview.uideck.com/signin.html	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/signin.html	(from https://appline-tailwind.preview.uideck.com/)
19:15:11	25708/25708	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2013:45:11%20GMT	https://appline-tailwind.preview.uideck.com/signin	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/signin.html	(from https://appline-tailwind.preview.uideck.com/)
19:15:11	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2013%20Apr%202023%2013:45:11%20GMT	https://appline-tailwind.preview.uideck.com/signup.html	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/signup.html	(from https://appline-tailwind.preview.uideck.com/)
19:15:12	26180/26180	---MCZ	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2013:45:12%20GMT	https://appline-tailwind.preview.uideck.com/signup	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/signup.html	(from https://appline-tailwind.preview.uideck.com/)
19:15:13	103633/103633	---M--	200	added ('OK')	image/png	etag:%2212e4397d6798c1688451808400f645c3%22	https://appline-tailwind.preview.uideck.com/images/hero-light.png	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/images/hero-light.png	(from https://appline-tailwind.preview.uideck.com/)
19:15:14	111104/111104	---M--	200	added ('OK')	image/png	etag:%226e58c5098c07bca513a3a1999f488a2f%22	https://appline-tailwind.preview.uideck.com/images/about-1-light.png	D:/my-sites/App-landing-2/appline-tailwind.preview.uideck.com/images/about-1-light.png	(from https://appline-tailwind.preview.uideck.com/)
